	ID	POEM_NUMBER	POEM_TITLE	STANZA	LINE_NUMBER	LINE_IN_SOURCE	LINE	RHYMEWORD	RHYME	RECONSTRUCTION	COMMENT	PROBLEMS	SPLIT_LINE	ALIGNMENT	RHYMEIDS	LENGTH
0	1	1	關睢	1.1	1	關關雎a[kiu]鳩	關關雎鳩	鳩	1.1a	kiu			關 + 關 + 雎 + 鳩	關 + 關 + 雎 + 鳩	0 0 0 1	4
1	2	1	關睢	1.1	2	在河之a[tjiu]洲。	在河之洲	洲	1.1a	tjiu			在 + 河 + 之 + 洲	在 + 河 + 之 + 洲	0 0 0 1	4
3	4	1	關睢	1.1	2	君子好a[qiu]逑。（幽部）	君子好逑	逑	1.1a	qiu	幽部		君 + 子 + 好 + 逑	君 + 子 + 好 + 逑	0 0 0 1	4
5	6	1	關睢	1.2	2	左右a[liu]流之。	左右流之	流	1.2a	liu			左 + 右 + 流 + 之	左 + 右 + 流 + 之	0 0 2 0	4
7	8	1	關睢	1.2	2	寤寐a[giu]求之。（幽部）	寤寐求之	求	1.2a	giu	幽部		寤 + 寐 + 求 + 之	寤 + 寐 + 求 + 之	0 0 2 0	4
8	9	1	關睢	1.3	1	求之不b[tək]得	求之不得	得	1.3b	tək			求 + 之 + 不 + 得	求 + 之 + 不 + 得	0 0 0 3	4
9	10	1	關睢	1.3	2	寤寐思b[biuək]服。	寤寐思服	服	1.3b	biuək			寤 + 寐 + 思 + 服	寤 + 寐 + 思 + 服	0 0 0 3	4
11	12	1	關睢	1.3	2	輾轉反b[tzhiək]側。（职部）	輾轉反側	側	1.3b	tzhiək	职部		輾 + 轉 + 反 + 側	輾 + 轉 + 反 + 側	0 0 0 3	4
13	14	1	關睢	1.4	2	左右a[tsə]采之。	左右采之	采	1.4a	tsə			左 + 右 + 采 + 之	左 + 右 + 采 + 之	0 0 4 0	4
15	16	1	關睢	1.4	2	琴瑟a[hiuə]友之。（之部）	琴瑟友之	友	1.4a	hiuə	之部		琴 + 瑟 + 友 + 之	琴 + 瑟 + 友 + 之	0 0 4 0	4
17	18	1	關睢	1.5	2	左右b[mô]芼之。	左右芼之	芼	1.5b	mô			左 + 右 + 芼 + 之	左 + 右 + 芼 + 之	0 0 5 0	4
19	20	1	關睢	1.5	2	 鍾鼓b[lôk]樂之。（宵觉通韵）	鍾鼓樂之	樂	1.5b	lôk	宵觉通韵		鍾 + 鼓 + 樂 + 之	鍾 + 鼓 + 樂 + 之	0 0 5 0	4
21	22	2	葛覃	2.1	2	施于中A[kok]谷。	施于中谷	谷	2.1a	kok			施 + 于 + 中 + 谷	施 + 于 + 中 + 谷	0 0 0 6	4
22	23	2	葛覃	2.1	1	維葉萋b[tsyei]萋	維葉萋萋	萋	2.1b	tsyei			維 + 葉 + 萋 + 萋	維 + 葉 + 萋 + 萋	0 0 7 0	4
23	24	2	葛覃	2.1	2	黃鳥于b[piuəi]飛。	黃鳥于飛	飛	2.1b	piuəi			黃 + 鳥 + 于 + 飛	黃 + 鳥 + 于 + 飛	0 0 0 7	4
24	25	2	葛覃	2.1	1	集于灌A[mok]木	集于灌木	木	2.1a	mok			集 + 于 + 灌 + 木	集 + 于 + 灌 + 木	0 0 0 6	4
25	26	2	葛覃	2.1	2	其鳴喈b[kei]喈。（脂微合韵）	其鳴喈喈	喈	2.1b	kei	脂微合韵		其 + 鳴 + 喈 + 喈	其 + 鳴 + 喈 + 喈	0 0 7 0	4
27	28	2	葛覃	2.2	2	施于中A[kok]谷。（屋部）	施于中谷	谷	2.2a	kok	屋部		施 + 于 + 中 + 谷	施 + 于 + 中 + 谷	0 0 0 8	4
28	29	2	葛覃	2.2	1	維葉莫b[mak]莫	維葉莫莫	莫	2.2b	mak			維 + 葉 + 莫 + 莫	維 + 葉 + 莫 + 莫	0 0 9 0	4
29	30	2	葛覃	2.2	2	是刈是b[huak]濩。	是刈是濩	濩	2.2b	huak			是 + 刈 + 是 + 濩	是 + 刈 + 是 + 濩	0 0 0 9	4
30	31	2	葛覃	2.2	1	為絺為b[khyak]綌	為絺為綌	綌	2.2b	khyak			為 + 絺 + 為 + 綌	為 + 絺 + 為 + 綌	0 0 0 9	4
31	32	2	葛覃	2.2	2	服之無b[jyak]斁。（铎部）	服之無斁	斁	2.2b	jyak	铎部		服 + 之 + 無 + 斁	服 + 之 + 無 + 斁	0 0 0 9	4
33	34	2	葛覃	2.3	2	言告言a[kiuəi]歸。	言告言歸	歸	2.3a	kiuəi			言 + 告 + 言 + 歸	言 + 告 + 言 + 歸	0 0 0 10	4
35	36	2	葛覃	2.3	2	薄澣我a[iəi]衣。（微部）	薄澣我衣	衣	2.3a	iəi	微部		薄 + 澣 + 我 + 衣	薄 + 澣 + 我 + 衣	0 0 0 10	4
36	37	2	葛覃	2.3	1	害澣害b[piuə]否	害澣害否	否	2.3b	piuə			害 + 澣 + 害 + 否	害 + 澣 + 害 + 否	0 0 0 11	4
37	38	2	葛覃	2.3	2	歸寧父b[mə]母 。（之部）	歸寧父母	母	2.3b	mə	之部		歸 + 寧 + 父 + 母	歸 + 寧 + 父 + 母	0 0 0 11	4
39	40	3	卷耳	3.1	2	不盈頃a[khiuang]筐。	不盈頃筐	筐	3.1a	khiuang			不 + 盈 + 頃 + 筐	不 + 盈 + 頃 + 筐	0 0 0 12	4
41	42	3	卷耳	3.1	2	寘彼周a[heang]行。（阳部）	寘彼周行	行	3.1a	heang	阳部		寘 + 彼 + 周 + 行	寘 + 彼 + 周 + 行	0 0 0 12	4
42	43	3	卷耳	3.2	1	陟彼崔a[nguəi]嵬	陟彼崔嵬	嵬	3.2a	nguəi			陟 + 彼 + 崔 + 嵬	陟 + 彼 + 崔 + 嵬	0 0 0 13	4
43	44	3	卷耳	3.2	2	我馬虺a[duəi]隤。	我馬虺隤	隤	3.2a	duəi			我 + 馬 + 虺 + 隤	我 + 馬 + 虺 + 隤	0 0 0 13	4
44	45	3	卷耳	3.2	1	我姑酌彼金a[luəi]罍	我姑酌彼金罍	罍	3.2a	luəi			我 + 姑 + 酌 + 彼 + 金 + 罍	我 + 姑 + 酌 + 彼 + 金 + 罍	0 0 0 0 0 13	6
45	46	3	卷耳	3.2	2	維以不永a[hoəi]懷。（微部）	維以不永懷	懷	3.2a	hoəi	微部		維 + 以 + 不 + 永 + 懷	維 + 以 + 不 + 永 + 懷	0 0 0 0 13	5
46	47	3	卷耳	3.3	1	陟彼高a[kang]岡	陟彼高岡	岡	3.3a	kang			陟 + 彼 + 高 + 岡	陟 + 彼 + 高 + 岡	0 0 0 14	4
47	48	3	卷耳	3.3	2	我馬玄a[huang]黃。	我馬玄黃	黃	3.3a	huang			我 + 馬 + 玄 + 黃	我 + 馬 + 玄 + 黃	0 0 0 14	4
48	49	3	卷耳	3.3	1	我姑酌彼兕a[koang]觥	我姑酌彼兕觥	觥	3.3a	koang			我 + 姑 + 酌 + 彼 + 兕 + 觥	我 + 姑 + 酌 + 彼 + 兕 + 觥	0 0 0 0 0 14	6
49	50	3	卷耳	3.3	2	維以不永a[sjiang]傷。（阳部）	維以不永傷	傷	3.3a	sjiang	阳部		維 + 以 + 不 + 永 + 傷	維 + 以 + 不 + 永 + 傷	0 0 0 0 14	5
50	51	3	卷耳	3.4	1	陟彼a[tsia]砠矣	陟彼砠矣	砠	3.4a	tsia			陟 + 彼 + 砠 + 矣	陟 + 彼 + 砠 + 矣	0 0 15 0	4
51	52	3	卷耳	3.4	2	我馬a[da]瘏矣	我馬瘏矣	瘏	3.4a	da			我 + 馬 + 瘏 + 矣	我 + 馬 + 瘏 + 矣	0 0 15 0	4
53	54	3	卷耳	3.4	1	我僕a[phiua]痡矣	我僕痡矣	痡	3.4a	phiua			我 + 僕 + 痡 + 矣	我 + 僕 + 痡 + 矣	0 0 15 0	4
54	55	3	卷耳	3.4	2	云何a[xiua]吁矣。（鱼部）	云何吁矣	吁	3.4a	xiua	鱼部		云 + 何 + 吁 + 矣	云 + 何 + 吁 + 矣	0 0 15 0	4
56	57	4	樛木	4.1	2	葛藟a[liuəi]纍之。	葛藟纍之	纍	4.1a	liuəi			葛 + 藟 + 纍 + 之	葛 + 藟 + 纍 + 之	0 0 16 0	4
58	59	4	樛木	4.1	2	福履a[siuəi]綏之。（微部）	福履綏之	綏	4.1a	siuəi	微部		福 + 履 + 綏 + 之	福 + 履 + 綏 + 之	0 0 16 0	4
60	61	4	樛木	4.2	2	葛藟a[xuang]荒之。	葛藟荒之	荒	4.2a	xuang			葛 + 藟 + 荒 + 之	葛 + 藟 + 荒 + 之	0 0 17 0	4
62	63	4	樛木	4.2	2	福履a[tziang]將之。（阳部）	福履將之	將	4.2a	tziang	阳部		福 + 履 + 將 + 之	福 + 履 + 將 + 之	0 0 17 0	4
64	65	4	樛木	4.3	2	葛藟a[lueng]<iueng?>縈之。	葛藟縈之	縈	4.3a	lueng		iueng?,	葛 + 藟 + 縈 + 之	葛 + 藟 + 縈 + 之	0 0 18 0	4
66	67	4	樛木	4.3	2	福履a[zjieng]成之。（耕部）	福履成之	成	4.3a	zjieng	耕部		福 + 履 + 成 + 之	福 + 履 + 成 + 之	0 0 18 0	4
68	69	5	螽斯	5.1	2	詵a[shən]詵兮。	詵詵兮	詵	5.1a	shən			詵 + 詵 + 兮	詵 + 詵 + 兮	19 0 0	3
70	71	5	螽斯	5.1	2	振a[tjiən]振兮。（文部）	振振兮	振	5.1a	tjiən	文部		振 + 振 + 兮	振 + 振 + 兮	19 0 0	3
72	73	5	螽斯	5.2	2	薨a[xuəng]薨兮。	薨薨兮	薨	5.2a	xuəng			薨 + 薨 + 兮	薨 + 薨 + 兮	20 0 0	3
74	75	5	螽斯	5.2	2	繩a[djiəng]繩兮。（蒸部）	繩繩兮	繩	5.2a	djiəng	蒸部		繩 + 繩 + 兮	繩 + 繩 + 兮	20 0 0	3
76	77	5	螽斯	5.3	2	揖a[tziəp]揖兮。	揖揖兮	揖	5.3a	tziəp			揖 + 揖 + 兮	揖 + 揖 + 兮	21 0 0	3
78	79	5	螽斯	5.3	2	蟄a[diəp]蟄兮。（缉部）	蟄蟄兮	蟄	5.3a	diəp	缉部		蟄 + 蟄 + 兮	蟄 + 蟄 + 兮	21 0 0	3
80	81	6	桃夭	6.1	2	灼灼其a[hoa]華。	灼灼其華	華	6.1a	hoa			灼 + 灼 + 其 + 華	灼 + 灼 + 其 + 華	0 0 0 22	4
82	83	6	桃夭	6.1	2	宜其室a[kea]家。 （鱼部）	宜其室家	家	6.1a	kea	鱼部		宜 + 其 + 室 + 家	宜 + 其 + 室 + 家	0 0 0 22	4
84	85	6	桃夭	6.2	2	有蕡其a[djiet]實。	有蕡其實	實	6.2a	djiet			有 + 蕡 + 其 + 實	有 + 蕡 + 其 + 實	0 0 0 23	4
86	87	6	桃夭	6.2	2	宜其家a[sjiet]室。（质部）	宜其家室	室	6.2a	sjiet	质部		宜 + 其 + 家 + 室	宜 + 其 + 家 + 室	0 0 0 23	4
88	89	6	桃夭	6.3	2	其葉蓁a[tzhen]蓁。	其葉蓁蓁	蓁	6.3a	tzhen			其 + 葉 + 蓁 + 蓁	其 + 葉 + 蓁 + 蓁	0 0 24 0	4
90	91	6	桃夭	6.3	2	宜其家a[njien]人。（真部）	宜其家人	人	6.3a	njien	真部		宜 + 其 + 家 + 人	宜 + 其 + 家 + 人	0 0 0 24	4
91	92	7	兔罝	7.1	1	肅肅兔a[tzia]罝	肅肅兔罝	罝	7.1a	tzia			肅 + 肅 + 兔 + 罝	肅 + 肅 + 兔 + 罝	0 0 0 25	4
